id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wday,month,year,event_name_1,event_type_1,snap_CA,wm_yr_wk,sell_price,day_name,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_28,rolling_std_7,day_of_week,day_of_month,week_of_year,is_weekend,is_month_start,is_month_end,is_event,is_sporting_event,is_national_event,is_religious_event,is_cultural_event,price_change,price_vs_avg,is_early_month
FOODS_3_406_CA_4_evaluation,FOODS_3_406,FOODS_3,FOODS,CA_4,CA,d_1941,3,2016-05-22,2,5,2016,,,0,11617,0.8,Mon,8.0,3.0,2.0,5.857142857142857,4.464285714285714,3.236694374850708,6,22,20,1,0,0,0,0,0,0,0,0.0,0.9785608953756568,0
HOUSEHOLD_1_334_CA_2_evaluation,HOUSEHOLD_1_334,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA,d_1941,14,2016-05-22,2,5,2016,,,0,11617,0.97,Mon,10.0,1.0,9.0,8.0,6.964285714285714,3.55902608401062,6,22,20,1,0,0,0,0,0,0,0,0.0,0.9913153191041948,0
FOODS_3_295_CA_3_evaluation,FOODS_3_295,FOODS_3,FOODS,CA_3,CA,d_1941,13,2016-05-22,2,5,2016,,,0,11617,0.8,Mon,21.0,15.0,15.0,14.285714285714286,13.642857142857142,5.407226205560108,6,22,20,1,0,0,0,0,0,0,0,0.0,0.9920396611425576,0
FOODS_3_295_CA_2_evaluation,FOODS_3_295,FOODS_3,FOODS,CA_2,CA,d_1941,9,2016-05-22,2,5,2016,,,0,11617,0.8,Mon,15.0,4.0,16.0,6.0,6.714285714285714,4.654746681256338,6,22,20,1,0,0,0,0,0,0,0,0.0,0.9782156761455983,0
FOODS_3_295_CA_1_evaluation,FOODS_3_295,FOODS_3,FOODS,CA_1,CA,d_1941,40,2016-05-22,2,5,2016,,,0,11617,0.8,Mon,40.0,20.0,24.0,26.428571428571427,21.285714285714285,13.575187449376696,6,22,20,1,0,0,0,0,0,0,0,0.0,0.9777844944839048,0
FOODS_3_288_CA_4_evaluation,FOODS_3_288,FOODS_3,FOODS,CA_4,CA,d_1941,0,2016-05-22,2,5,2016,,,0,11617,1.5,Mon,3.0,5.0,19.0,6.0,6.428571428571429,2.449489742783161,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0,0
FOODS_3_288_CA_3_evaluation,FOODS_3_288,FOODS_3,FOODS,CA_3,CA,d_1941,37,2016-05-22,2,5,2016,,,0,11617,1.5,Mon,37.0,54.0,64.0,30.0,36.42857142857143,3.785938897200543,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0041576233270977,0
FOODS_3_288_CA_2_evaluation,FOODS_3_288,FOODS_3,FOODS,CA_2,CA,d_1941,50,2016-05-22,2,5,2016,,,0,11617,1.5,Mon,45.0,47.0,54.0,31.285714285714285,31.678571428571427,12.134170562428023,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0,0
FOODS_3_288_CA_1_evaluation,FOODS_3_288,FOODS_3,FOODS,CA_1,CA,d_1941,13,2016-05-22,2,5,2016,,,0,11617,1.5,Mon,16.0,12.0,24.0,11.428571428571429,13.142857142857142,5.968169536721293,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0,0
FOODS_3_282_CA_4_evaluation,FOODS_3_282,FOODS_3,FOODS,CA_4,CA,d_1941,10,2016-05-22,2,5,2016,,,0,11617,2.56,Mon,9.0,3.0,10.0,7.142857142857143,6.642857142857143,2.911389784310975,6,22,20,1,0,0,0,0,0,0,0,0.0,1.022120329636285,0
FOODS_3_282_CA_3_evaluation,FOODS_3_282,FOODS_3,FOODS,CA_3,CA,d_1941,40,2016-05-22,2,5,2016,,,0,11617,2.56,Mon,43.0,24.0,38.0,27.714285714285715,26.535714285714285,7.15807901870924,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0235631738152484,0
FOODS_3_282_CA_2_evaluation,FOODS_3_282,FOODS_3,FOODS,CA_2,CA,d_1941,21,2016-05-22,2,5,2016,,,0,11617,2.56,Mon,7.0,8.0,17.0,9.0,9.857142857142858,2.828427124746413,6,22,20,1,0,0,0,0,0,0,0,0.0,1.022120329636285,0
FOODS_3_282_CA_1_evaluation,FOODS_3_282,FOODS_3,FOODS,CA_1,CA,d_1941,41,2016-05-22,2,5,2016,,,0,11617,2.56,Mon,5.0,37.0,31.0,13.571428571428571,21.75,4.96175852083126,6,22,20,1,0,0,0,0,0,0,0,0.0,1.022120329636285,0
FOODS_3_281_CA_4_evaluation,FOODS_3_281,FOODS_3,FOODS,CA_4,CA,d_1941,6,2016-05-22,2,5,2016,,,0,11617,1.25,Mon,8.0,7.0,8.0,7.571428571428571,7.178571428571429,3.735288603626402,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0204469283175608,0
FOODS_3_281_CA_3_evaluation,FOODS_3_281,FOODS_3,FOODS,CA_3,CA,d_1941,22,2016-05-22,2,5,2016,,,0,11617,1.25,Mon,1.0,16.0,15.0,14.857142857142858,15.464285714285714,13.897584579447278,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0728470943262258,0
FOODS_3_281_CA_2_evaluation,FOODS_3_281,FOODS_3,FOODS,CA_2,CA,d_1941,9,2016-05-22,2,5,2016,,,0,11617,1.25,Mon,8.0,9.0,21.0,7.285714285714286,7.607142857142857,2.28868854108557,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0208390515803476,0
FOODS_3_281_CA_1_evaluation,FOODS_3_281,FOODS_3,FOODS,CA_1,CA,d_1941,13,2016-05-22,2,5,2016,,,0,11617,1.25,Mon,21.0,10.0,14.0,12.142857142857142,10.75,4.98091596089736,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0213824892580563,0
FOODS_3_252_CA_4_evaluation,FOODS_3_252,FOODS_3,FOODS,CA_4,CA,d_1941,12,2016-05-22,2,5,2016,,,0,11617,1.58,Mon,23.0,18.0,9.0,18.285714285714285,15.214285714285714,5.707138387267985,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0398754908143957,0
FOODS_3_252_CA_3_evaluation,FOODS_3_252,FOODS_3,FOODS,CA_3,CA,d_1941,62,2016-05-22,2,5,2016,,,0,11617,1.58,Mon,72.0,57.0,39.0,56.71428571428572,49.35714285714285,17.604112073738932,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0398754908143957,0
FOODS_3_252_CA_2_evaluation,FOODS_3_252,FOODS_3,FOODS,CA_2,CA,d_1941,46,2016-05-22,2,5,2016,,,0,11617,1.58,Mon,46.0,57.0,38.0,39.57142857142857,34.42857142857143,5.094347941825536,6,22,20,1,0,0,0,0,0,0,0,0.0,1.040122368135446,0
FOODS_3_252_CA_1_evaluation,FOODS_3_252,FOODS_3,FOODS,CA_1,CA,d_1941,50,2016-05-22,2,5,2016,,,0,11617,1.58,Mon,61.0,69.0,52.0,40.285714285714285,38.785714285714285,11.2355727596816,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0398754908143957,0
FOODS_3_234_CA_4_evaluation,FOODS_3_234,FOODS_3,FOODS,CA_4,CA,d_1941,13,2016-05-22,2,5,2016,,,0,11617,0.25,Mon,0.0,12.0,0.0,3.2857142857142856,3.2857142857142856,3.4982989063394268,6,22,20,1,0,0,0,0,0,0,0,0.0,1.2374091546602064,0
FOODS_3_234_CA_3_evaluation,FOODS_3_234,FOODS_3,FOODS,CA_3,CA,d_1941,0,2016-05-22,2,5,2016,,,0,11617,0.25,Mon,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,6,22,20,1,0,0,0,0,0,0,0,0.0,1.2374091546602064,0
FOODS_3_295_CA_4_evaluation,FOODS_3_295,FOODS_3,FOODS,CA_4,CA,d_1941,11,2016-05-22,2,5,2016,,,0,11617,0.8,Mon,6.0,16.0,4.0,5.0,5.571428571428571,1.5275252316519814,6,22,20,1,0,0,0,0,0,0,0,0.0,0.9785608953756568,0
FOODS_3_234_CA_2_evaluation,FOODS_3_234,FOODS_3,FOODS,CA_2,CA,d_1941,25,2016-05-22,2,5,2016,,,0,11617,0.25,Mon,0.0,0.0,9.0,9.857142857142858,3.25,13.171036044145897,6,22,20,1,0,0,0,0,0,0,0,0.0,1.2374091546602064,0
FOODS_3_318_CA_1_evaluation,FOODS_3_318,FOODS_3,FOODS,CA_1,CA,d_1941,24,2016-05-22,2,5,2016,,,0,11617,1.48,Mon,14.0,21.0,9.0,11.142857142857142,12.0,3.484660262184471,6,22,20,1,0,0,0,0,0,0,0,0.0,1.1218689223703633,0
FOODS_3_318_CA_3_evaluation,FOODS_3_318,FOODS_3,FOODS,CA_3,CA,d_1941,28,2016-05-22,2,5,2016,,,0,11617,1.48,Mon,24.0,28.0,28.0,19.428571428571427,20.214285714285715,8.79122939557712,6,22,20,1,0,0,0,0,0,0,0,0.0,1.140608683567926,0
FOODS_3_389_CA_4_evaluation,FOODS_3_389,FOODS_3,FOODS,CA_4,CA,d_1941,4,2016-05-22,2,5,2016,,,0,11617,1.68,Mon,3.0,2.0,2.0,4.142857142857143,3.607142857142857,2.267786838055344,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0538412813320062,0
FOODS_3_389_CA_3_evaluation,FOODS_3_389,FOODS_3,FOODS,CA_3,CA,d_1941,22,2016-05-22,2,5,2016,,,0,11617,1.68,Mon,21.0,16.0,20.0,17.428571428571427,17.892857142857142,4.237025012007962,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0538412813320062,0
FOODS_3_389_CA_2_evaluation,FOODS_3_389,FOODS_3,FOODS,CA_2,CA,d_1941,12,2016-05-22,2,5,2016,,,0,11617,1.68,Mon,19.0,10.0,14.0,13.142857142857142,10.678571428571429,3.7161167647860553,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0588716643178615,0
FOODS_3_389_CA_1_evaluation,FOODS_3_389,FOODS_3,FOODS,CA_1,CA,d_1941,14,2016-05-22,2,5,2016,,,0,11617,1.68,Mon,7.0,9.0,11.0,8.0,8.178571428571429,1.999999999999915,6,22,20,1,0,0,0,0,0,0,0,0.0,1.053602931198263,0
FOODS_3_377_CA_4_evaluation,FOODS_3_377,FOODS_3,FOODS,CA_4,CA,d_1941,4,2016-05-22,2,5,2016,,,0,11617,1.68,Mon,5.0,5.0,3.0,4.428571428571429,4.357142857142857,2.370453040886403,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0469726255225422,0
FOODS_3_377_CA_3_evaluation,FOODS_3_377,FOODS_3,FOODS,CA_3,CA,d_1941,9,2016-05-22,2,5,2016,,,0,11617,1.68,Mon,19.0,13.0,14.0,12.857142857142858,11.857142857142858,3.89138242053612,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0472079848934448,0
FOODS_3_377_CA_2_evaluation,FOODS_3_377,FOODS_3,FOODS,CA_2,CA,d_1941,5,2016-05-22,2,5,2016,,,0,11617,1.68,Mon,1.0,9.0,7.0,3.2857142857142856,4.142857142857143,2.214669705568288,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0472079848934448,0
FOODS_3_377_CA_1_evaluation,FOODS_3_377,FOODS_3,FOODS,CA_1,CA,d_1941,9,2016-05-22,2,5,2016,,,0,11617,1.68,Mon,15.0,9.0,12.0,8.714285714285714,8.642857142857142,3.860668582611289,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0469726255225422,0
FOODS_3_376_CA_4_evaluation,FOODS_3_376,FOODS_3,FOODS,CA_4,CA,d_1941,6,2016-05-22,2,5,2016,,,0,11617,1.0,Mon,4.0,2.0,2.0,2.2857142857142856,2.071428571428572,2.214669705568326,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0,0
FOODS_3_376_CA_3_evaluation,FOODS_3_376,FOODS_3,FOODS,CA_3,CA,d_1941,5,2016-05-22,2,5,2016,,,0,11617,1.0,Mon,0.0,0.0,7.0,4.428571428571429,4.071428571428571,5.061526214399807,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0,0
FOODS_3_376_CA_2_evaluation,FOODS_3_376,FOODS_3,FOODS,CA_2,CA,d_1941,1,2016-05-22,2,5,2016,,,0,11617,1.0,Mon,11.0,7.0,5.0,5.285714285714286,4.142857142857143,4.07080195679287,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0,0
FOODS_3_376_CA_1_evaluation,FOODS_3_376,FOODS_3,FOODS,CA_1,CA,d_1941,3,2016-05-22,2,5,2016,,,0,11617,1.0,Mon,5.0,7.0,3.0,10.142857142857142,6.821428571428571,4.561745697594571,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0,0
FOODS_3_362_CA_4_evaluation,FOODS_3_362,FOODS_3,FOODS,CA_4,CA,d_1941,15,2016-05-22,2,5,2016,,,0,11617,2.56,Mon,25.0,0.0,2.0,13.285714285714286,4.75,6.264031867583016,6,22,20,1,0,0,0,0,0,0,0,0.0,1.022327983393246,0
FOODS_3_362_CA_3_evaluation,FOODS_3_362,FOODS_3,FOODS,CA_3,CA,d_1941,27,2016-05-22,2,5,2016,,,0,11617,2.56,Mon,31.0,0.0,40.0,25.428571428571427,11.642857142857142,6.629659188252556,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0743497143465215,0
FOODS_3_362_CA_2_evaluation,FOODS_3_362,FOODS_3,FOODS,CA_2,CA,d_1941,24,2016-05-22,2,5,2016,,,0,11617,2.56,Mon,35.0,0.0,22.0,19.142857142857142,6.464285714285714,9.940297973880046,6,22,20,1,0,0,0,0,0,0,0,0.0,1.022327983393246,0
FOODS_3_362_CA_1_evaluation,FOODS_3_362,FOODS_3,FOODS,CA_1,CA,d_1941,20,2016-05-22,2,5,2016,,,0,11617,2.56,Mon,18.0,0.0,23.0,16.428571428571427,6.642857142857143,9.641181512261896,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0224553184989054,0
FOODS_3_319_CA_4_evaluation,FOODS_3_319,FOODS_3,FOODS,CA_4,CA,d_1941,0,2016-05-22,2,5,2016,,,0,11617,1.0,Mon,0.0,0.0,0.0,0.0,0.0,0.0,6,22,20,1,0,0,0,0,0,0,0,0.0,0.9976254355937954,0
FOODS_3_319_CA_3_evaluation,FOODS_3_319,FOODS_3,FOODS,CA_3,CA,d_1941,0,2016-05-22,2,5,2016,,,0,11617,0.88,Mon,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,6,22,20,1,0,0,0,0,0,0,0,0.0,0.8913375929611396,0
FOODS_3_319_CA_2_evaluation,FOODS_3_319,FOODS_3,FOODS,CA_2,CA,d_1941,0,2016-05-22,2,5,2016,,,0,11617,0.88,Mon,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,6,22,20,1,0,0,0,0,0,0,0,0.0,0.8804970919285325,0
FOODS_3_319_CA_1_evaluation,FOODS_3_319,FOODS_3,FOODS,CA_1,CA,d_1941,0,2016-05-22,2,5,2016,,,0,11617,1.0,Mon,0.0,0.0,0.0,0.0,0.0,0.0,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0,0
FOODS_3_318_CA_4_evaluation,FOODS_3_318,FOODS_3,FOODS,CA_4,CA,d_1941,10,2016-05-22,2,5,2016,,,0,11617,1.48,Mon,8.0,12.0,12.0,7.571428571428571,8.857142857142858,5.126959555693247,6,22,20,1,0,0,0,0,0,0,0,0.0,1.1232814577305077,0
FOODS_3_318_CA_2_evaluation,FOODS_3_318,FOODS_3,FOODS,CA_2,CA,d_1941,9,2016-05-22,2,5,2016,,,0,11617,1.48,Mon,18.0,6.0,13.0,12.285714285714286,11.0,4.386125310349623,6,22,20,1,0,0,0,0,0,0,0,0.0,1.1207047220748416,0
FOODS_3_406_CA_1_evaluation,FOODS_3_406,FOODS_3,FOODS,CA_1,CA,d_1941,20,2016-05-22,2,5,2016,,,0,11617,0.8,Mon,26.0,8.0,9.0,21.714285714285715,13.607142857142858,6.9453650183483,6,22,20,1,0,0,0,0,0,0,0,0.0,0.9778707004042972,0
FOODS_3_234_CA_1_evaluation,FOODS_3_234,FOODS_3,FOODS,CA_1,CA,d_1941,0,2016-05-22,2,5,2016,,,0,11617,0.25,Mon,8.0,6.0,8.0,6.571428571428571,7.321428571428571,5.996030432909739,6,22,20,1,0,0,0,0,0,0,0,0.0,1.2384318766066835,0
FOODS_3_202_CA_3_evaluation,FOODS_3_202,FOODS_3,FOODS,CA_3,CA,d_1941,38,2016-05-22,2,5,2016,,,0,11617,4.68,Mon,23.0,23.0,29.0,20.142857142857142,19.678571428571427,6.91444313083303,6,22,20,1,0,0,0,0,0,0,0,0.0,1.1082741001559218,0
FOODS_2_347_CA_1_evaluation,FOODS_2_347,FOODS_2,FOODS,CA_1,CA,d_1941,9,2016-05-22,2,5,2016,,,0,11617,2.24,Mon,18.0,9.0,11.0,11.0,11.535714285714286,3.366501646120746,6,22,20,1,0,0,0,0,0,0,0,0.0,1.1085687768833998,0
FOODS_2_276_CA_4_evaluation,FOODS_2_276,FOODS_2,FOODS,CA_4,CA,d_1941,5,2016-05-22,2,5,2016,,,0,11617,3.42,Mon,2.0,1.0,4.0,2.571428571428572,2.2857142857142856,1.9023794624226904,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0592915524378217,0
FOODS_2_276_CA_3_evaluation,FOODS_2_276,FOODS_2,FOODS,CA_3,CA,d_1941,9,2016-05-22,2,5,2016,,,0,11617,3.42,Mon,7.0,8.0,3.0,5.714285714285714,6.142857142857143,1.1126972805269957,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0562475337007853,0
FOODS_2_276_CA_2_evaluation,FOODS_2_276,FOODS_2,FOODS,CA_2,CA,d_1941,3,2016-05-22,2,5,2016,,,0,11617,3.42,Mon,6.0,1.0,2.0,3.0,2.7142857142857144,1.9148542155127228,6,22,20,1,0,0,0,0,0,0,0,0.0,1.055401159980667,0
FOODS_2_276_CA_1_evaluation,FOODS_2_276,FOODS_2,FOODS,CA_1,CA,d_1941,19,2016-05-22,2,5,2016,,,0,11617,3.42,Mon,16.0,5.0,12.0,7.857142857142857,8.0,5.36745040121703,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0591969006991933,0
FOODS_2_244_CA_4_evaluation,FOODS_2_244,FOODS_2,FOODS,CA_4,CA,d_1941,5,2016-05-22,2,5,2016,,,0,11617,5.94,Mon,9.0,6.0,8.0,5.285714285714286,5.964285714285714,2.627691364061224,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0176080578709343,0
FOODS_2_244_CA_3_evaluation,FOODS_2_244,FOODS_2,FOODS,CA_3,CA,d_1941,6,2016-05-22,2,5,2016,,,0,11617,5.94,Mon,13.0,11.0,10.0,8.285714285714286,8.857142857142858,3.5456210417119207,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0217745022970903,0
FOODS_2_244_CA_2_evaluation,FOODS_2_244,FOODS_2,FOODS,CA_2,CA,d_1941,4,2016-05-22,2,5,2016,,,0,11617,5.94,Mon,10.0,3.0,9.0,5.714285714285714,5.25,2.1380899352993885,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0173566378771783,0
FOODS_2_244_CA_1_evaluation,FOODS_2_244,FOODS_2,FOODS,CA_1,CA,d_1941,10,2016-05-22,2,5,2016,,,0,11617,5.94,Mon,1.0,2.0,12.0,5.857142857142857,6.107142857142857,2.672612419124379,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0173566378771783,0
FOODS_2_197_CA_4_evaluation,FOODS_2_197,FOODS_2,FOODS,CA_4,CA,d_1941,11,2016-05-22,2,5,2016,,,0,11617,3.42,Mon,10.0,3.0,4.0,6.0,6.214285714285714,1.8257418583505132,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0592915524378217,0
FOODS_2_197_CA_3_evaluation,FOODS_2_197,FOODS_2,FOODS,CA_3,CA,d_1941,12,2016-05-22,2,5,2016,,,0,11617,3.42,Mon,23.0,14.0,9.0,9.285714285714286,9.964285714285714,7.846746368491268,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0562475337007853,0
FOODS_2_197_CA_2_evaluation,FOODS_2_197,FOODS_2,FOODS,CA_2,CA,d_1941,8,2016-05-22,2,5,2016,,,0,11617,3.42,Mon,8.0,2.0,9.0,5.428571428571429,5.607142857142857,5.191568255583383,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0570952660008153,0
FOODS_2_197_CA_1_evaluation,FOODS_2_197,FOODS_2,FOODS,CA_1,CA,d_1941,26,2016-05-22,2,5,2016,,,0,11617,3.42,Mon,32.0,10.0,33.0,22.285714285714285,22.178571428571427,7.4992063072099535,6,22,20,1,0,0,0,0,0,0,0,0.0,1.0592915524378217,0
